MESA,UNE,SEMILLA,NULOS,BLANCO
511,16,86,24,0
512,10,80,23,2
513,13,76,23,0
514,6,73,25,1
515,7,93,29,1
516,10,81,25,1
517,11,75,24,2
518,14,78,19,1
519,10,68,16,0
520,8,97,25,1
521,8,157,13,0
522,6,126,16,0
523,10,115,11,1
524,12,60,36,0
525,10,65,37,1
526,17,79,34,0
527,9,77,32,0
528,12,68,24,1
529,17,82,27,1
530,12,57,47,1
531,15,81,25,0
686,20,86,16,1
687,17,98,12,1
688,21,80,14,0
689,8,57,14,0
690,7,31,8,1
691,7,82,18,0
692,5,90,14,0
693,6,78,15,0
694,11,72,34,0
695,14,82,22,1
696,12,64,37,1
697,6,73,26,0
698,12,74,24,0
699,7,71,28,0
700,9,72,27,1
701,11,67,29,0
702,8,83,20,0
703,5,121,15,0
704,6,84,22,2
705,13,88,27,0
706,4,74,21,1
707,10,73,23,0
708,--,--,--,--
709,4,97,26,4
710,9,78,25,0
711,11,68,19,0
712,5,71,29,0
713,12,71,34,0
714,10,82,30,0
715,7,82,29,2
716,8,84,24,2
717,9,75,22,0
718,11,86,21,0
719,10,82,21,1
720,6,82,21,1
721,5,77,22,1
722,8,80,20,0
723,5,69,26,0
724,10,72,27,2
725,11,76,21,0
726,5,78,18,1
727,7,67,21,0
728,10,103,22,2
729,7,153,13,1
730,2,188,14,0
731,6,149,14,0
732,7,97,16,2
733,3,95,6,0
734,6,73,6,0
735,20,72,31,1
736,11,74,28,0
737,15,80,23,0
738,18,69,36,101
739,8,80,29,1
740,9,109,17,0
741,19,70,24,0
742,21,92,19,2
743,25,72,24,1
744,21,87,38,2
745,14,90,22,0
746,14,88,26,1
747,21,74,26,0
748,14,76,21,2
749,12,97,24,0
750,11,101,17,0
751,8,170,13,0
752,5,87,7,0
753,7,74,10,0
754,9,115,26,0
755,10,96,16,0
756,6,88,17,0
757,9,109,17,0
758,10,115,21,0
759,3,122,14,0
760,5,115,27,67
761,5,98,26,0
762,6,111,30,0
763,7,110,18,0
764,3,116,20,0
765,2,176,9,--
766,2,193,7,0
767,4,132,10,0
768,5,139,4,0
769,21,55,46,5
770,13,79,32,0
771,9,73,33,3
772,11,66,43,1
773,16,89,18,0
774,10,65,44,2
775,12,56,32,1
776,9,70,25,0
777,8,63,21,0
778,15,61,36,1
779,11,59,27,1
780,14,83,27,--
781,5,73,20,0
782,16,64,43,0
783,12,77,20,--
784,10,77,26,--
785,16,68,28,--
786,4,80,30,2
787,7,73,38,1
788,7,69,24,1
789,7,65,22,0
790,14,60,27,1
791,8,56,25,1
792,7,72,24,0
793,8,92,15,0
794,8,144,10,--
795,3,54,19,--
796,7,59,7,0
797,2,60,9,1
798,9,45,24,0
799,8,43,24,0
800,9,45,19,0
801,10,40,26,0
802,11,48,17,0
803,6,33,7,0
804,3,31,3,0
805,6,45,33,1
806,5,47,22,0
807,4,40,17,1
808,12,55,28,0
809,3,75,19,1
810,10,48,21,0
811,6,55,26,0
812,2,48,13,0
813,4,43,20,0
814,1,47,12,0
815,5,41,16,0
816,8,43,24,0
817,5,43,20,--
818,7,36,18,0
819,6,48,15,0
820,3,60,11,0
821,2,40,3,0
822,8,37,21,0
823,7,34,23,0
824,8,45,25,--
825,8,42,16,0
826,2,59,19,0
827,8,49,24,0
828,8,45,16,1
829,6,42,10,0
830,4,45,19,0
831,9,38,19,--
832,4,48,15,0
833,10,52,19,0
834,6,88,12,0
835,1,57,6,0
836,2,55,10,0
837,8,78,22,0
838,7,68,26,1
839,10,69,34,1
840,15,81,17,2
841,10,69,21,0
842,2,68,28,2
843,5,66,35,0
844,8,76,30,2
845,16,76,31,0
846,5,77,22,0
847,6,94,25,1
848,8,83,21,2
849,8,83,25,1
850,4,75,31,0
851,3,83,20,0
852,9,85,17,0
853,4,74,28,0
854,8,70,25,0
855,9,69,22,1
856,5,71,23,0
857,6,75,20,0
858,6,60,32,0
859,6,71,26,0
860,6,72,17,0
861,11,66,21,0
862,12,73,19,0
863,8,75,22,1
864,8,70,20,1
865,4,72,23,0
866,7,101,22,0
867,3,125,14,0
868,5,172,16,0
869,4,139,4,0
870,5,92,15,0
871,3,88,6,0
872,2,55,8,0
873,5,77,25,1
874,5,65,23,0
875,4,93,23,2
876,6,91,17,0
877,5,81,22,0
878,7,89,34,0
879,2,100,21,0
880,3,86,24,0
881,11,84,25,0
882,5,91,25,0
883,7,103,23,0
884,5,100,4,0
885,3,69,8,0
886,6,69,30,1
887,2,86,22,0
888,5,69,23,0
889,5,75,30,1
890,8,96,17,0
891,8,87,29,0
892,8,90,19,0
893,6,82,25,1
894,8,71,15,1
895,5,71,29,1
896,4,76,25,0
897,3,84,26,0
898,4,106,13,0
899,3,113,4,0
900,1,91,10,0
901,4,54,23,1
902,12,66,23,0
903,4,63,22,0
904,6,69,28,2
905,5,70,32,0
906,7,76,19,0
907,10,72,9,0
908,10,64,28,0
909,6,67,23,0
910,12,76,15,0
911,10,62,33,2
982,8,62,48,2
983,10,64,23,1
984,12,60,34,0
985,9,64,26,2
986,13,75,26,0
987,11,80,19,3
988,9,82,23,1
989,9,100,22,1
990,5,85,16,1
991,12,65,32,2
992,6,62,24,0
993,10,72,29,2
994,9,77,42,1
995,6,77,23,2
996,11,84,24,0
997,12,80,22,0
998,13,70,40,0
999,10,85,17,1
1000,9,77,32,0
1001,7,69,26,0
1002,11,73,34,1
1003,4,94,26,0
1004,7,71,19,1
1005,12,70,27,3
1006,--,--,--,--
1007,22,71,28,--
1008,5,77,25,1
1009,10,75,20,0
1010,14,60,24,1
1011,17,69,27,0
1012,7,67,21,0
1013,7,64,29,1
1014,10,74,21,2
1015,6,70,20,0
1016,13,58,19,0
1017,15,85,26,0
1018,16,73,19,0
1019,6,82,19,1
1020,5,107,13,0
